Material,Su,Sy,E,G,mu,Ro,Use
ANSI Aluminum Alloy 514.0 Cast (F),152,62,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 520.0 Cast (T4),290,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 535.0 Cast (F or T5),241,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 705.0 Cast (F or T5),207,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 707.0 Cast (T5),228,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 707.0 Cast (T7),255,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 710.0 Cast (F or T5),221,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 712.0 Cast (F or T5),234,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 713.0 Cast (F or T5),221,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 771.0 Cast (T5),290,262,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 771.0 Cast (T51),221,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 771.0 Cast (T52),248,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 771.0 Cast (T53),248,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 771.0 Cast (T6),290,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 771.0 Cast (T71),331,310,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 852.0 Cast (T5),165,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1060-O Wrought,69,28,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1060-H12 Wrought,83,76,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1060-H14 Wrought,97,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1060-H16 Wrought,110,103,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1060-H18 Wrought,131,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1100-O Wrought,90,34,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1100-H12 Wrought,110,103,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1100-H14 Wrought,124,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1100-H16 Wrought,145,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1100-H18 Wrought,165,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1350-O Wrought,83,28,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1350-H12 Wrought,97,83,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1350-H14 Wrought,110,97,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1350-H16 Wrought,124,110,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1350-H19 Wrought,186,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2011-T3 Wrought,379,296,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2011-T8 Wrought,407,310,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2014-O Wrought,186,97,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2014-T4 Wrought,427,290,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2014-T451 Wrought,427,290,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2014-T6 Wrought,483,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2014-T651 Wrought,483,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014-O Wrought,172,69,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014-T3 Wrought,434,276,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014-T4 Wrought,421,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014-T451 Wrought,421,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014-T6 Wrought,469,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014-T651 Wrought,469,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2017-O Wrought,179,69,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2017-T4 Wrought,427,276,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2017-T451 Wrought,427,276,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2018-T61 Wrought,421,317,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2024-O Wrought,186,76,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2024-T3 Wrought,483,345,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2024-T351 Wrought,469,324,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2024-T4 Wrought,469,324,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2024-T361 Wrought,496,393,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024-O Wrought,179,76,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024-T3 Wrought,448,310,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024-T351 Wrought,441,290,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024-T4 Wrought,441,290,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 202024-T361 Wrought,462,365,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024-T81 Wrought,448,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024-T851 Wrought,448,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024-T861 Wrought,483,455,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2025-T6 Wrought,400,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2036-T4 Wrought,338,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2117-T4 Wrought,296,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2218-T72 Wrought,331,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219-O Wrought,172,76,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219-T42 Wrought,359,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219-T31 Wrought,359,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219-T351 Wrought,359,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219-T37 Wrought,393,317,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219-T62 Wrought,414,290,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219-T81 Wrought,455,352,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219-T851 Wrought,455,352,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219-T87 Wrought,476,393,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3003-O Wrought,110,41,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3003-H12 Wrought,131,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3003-H14 Wrought,152,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3003-H16 Wrought,179,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3003-H18 Wrought,200,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3003-O Wrought,110,41,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3003-H12 Wrought,131,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3003-H14 Wrought,152,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3003-H16 Wrought,179,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3003-H18 Wrought,200,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3004-O Wrought,179,69,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3004-H32 Wrought,214,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3004-H34 Wrought,241,200,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3004-H36 Wrought,262,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3004-H38 Wrought,283,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3004-O Wrought,179,69,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3004-H32 Wrought,214,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3004-H34 Wrought,241,200,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3004-H36 Wrought,262,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3004-H38 Wrought,283,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105-O Wrought,117,55,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105-H12 Wrought,152,131,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105-H14 Wrought,172,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105-H16 Wrought,193,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105-H18 Wrought,214,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105-H25 Wrought,179,159,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 4032-T6 Wrought,379,317,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005-O Wrought,124,41,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005-H12 Wrought,138,131,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005-H14 Wrought,159,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005-H16 Wrought,179,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005-H18 Wrought,200,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005-H32 Wrought,138,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005-H34 Wrought,159,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005-H36 Wrought,179,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005-H38 Wrought,200,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5050-O Wrought,145,55,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5050-H32 Wrought,172,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5050-H34 Wrought,193,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5050-H36 Wrought,207,179,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5050-H38 Wrought,221,200,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5052-O Wrought,193,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5052-H32 Wrought,228,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5052-H34 Wrought,262,214,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5052-H36 Wrought,276,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5052-H38 Wrought,290,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5056-O Wrought,290,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5056-H18 Wrought,434,407,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5056-H38 Wrought,414,345,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5083-O Wrought,290,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5083-H116 Wrought,317,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5083-H321 Wrought,317,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5086-O Wrought,262,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5086-H32 Wrought,290,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5086-H34 Wrought,324,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5086-H112 Wrought,269,131,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5086-H116 Wrought,290,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154-O Wrought,241,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154-H32 Wrought,269,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154-H34 Wrought,290,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154-H36 Wrought,310,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154-H38 Wrought,331,269,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154-H112 Wrought,241,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5252-H25 Wrought,234,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5252-H28 Wrought,283,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5252-H38 Wrought,283,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254-O Wrought,241,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254-H32 Wrought,269,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254-H34 Wrought,290,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254-H36 Wrought,310,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254-H38 Wrought,331,269,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254-H112 Wrought,241,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5454-O Wrought,248,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5454-H32 Wrought,276,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5454-H34 Wrought,303,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5454-H111 Wrought,262,179,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5454-H112 Wrought,248,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5456-O Wrought,310,159,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5456-H112 Wrought,310,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5456-H116 Wrought,352,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5456-H321 Wrought,352,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5457-O Wrought,131,48,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5457-H25 Wrought,179,159,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5457-H28 Wrought,207,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5457-H38 Wrought,207,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5652-O Wrought,193,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5652-H32 Wrought,228,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5652-H34 Wrought,262,214,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5652-H36 Wrought,276,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5652-H38 Wrought,290,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5657-H25 Wrought,159,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5657-H28 Wrought,193,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5657-H38 Wrought,193,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6061-O Wrought,124,55,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6061-T4 Wrought,241,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6061-T451 Wrought,241,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6061-T6 Wrought,310,276,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6061-T651 Wrought,310,276,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 6061-O Wrought,117,48,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 6061-T4 Wrought,228,131,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 6061-T451 Wrought,228,131,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 6061-T6 Wrought,290,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 6061-T651 Wrought,290,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6063-O Wrought,90,48,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6063-T1 Wrought,152,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6063-T4 Wrought,172,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6063-T5 Wrought,186,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6063-T6 Wrought,241,214,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6063-T83 Wrought,255,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6063-T831 Wrought,207,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6063-T832 Wrought,290,269,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6066-O Wrought,152,83,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6066-T4 Wrought,359,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6066-T451 Wrought,359,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6066-T6 Wrought,393,359,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6066-T651 Wrought,393,359,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6070-T6 Wrought,379,352,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6101-H111 Wrought,97,76,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6101-T6 Wrought,221,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6262-T9 Wrought,400,379,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6351-T4 Wrought,248,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6351-T6 Wrought,310,283,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6463-T1 Wrought,152,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6463-T5 Wrought,186,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 6463-T6 Wrought,241,214,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7049-T73 Wrought,517,448,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7049-T7352 Wrought,517,434,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7050-T73510 Wrought,496,434,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7050-T7451f Wrought,524,469,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7050-T7651 Wrought,552,490,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7075-O Wrought,228,103,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7075-T6 Wrought,572,503,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7075-T651 Wrought,572,503,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 7075-O Wrought,221,97,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 7075-T6 Wrought,524,462,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 7075-T651 Wrought,524,462,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7178-O Wrought,228,103,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7178-T6 Wrought,607,538,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7178-T651 Wrought,607,538,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7178-T76 Wrought,572,503,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7178-T7651 Wrought,572,503,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 7178-O Wrought,221,97,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 7178-T6 Wrought,558,490,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 7178-T651 Wrought,558,490,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 8176-H24 Wrought,117,97,73000,26000,0.33,2700,False
ANSI Magnesium Alloy AM100A-T61 sand casting,276,152,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ63A-T6 sand casting,276,97,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ81A-T4 sand casting,276,83,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ91C-T6 sand casting,276,145,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ91E-T6 sand casting,276,145,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ92A-T6 sand casting,276,152,73000,26000,0.33,1750,False
ANSI Magnesium Alloy EZ33A-T5 sand casting,159,110,73000,26000,0.33,1750,False
ANSI Magnesium Alloy HK31A-T6 sand casting,221,103,73000,26000,0.33,1750,False
ANSI Magnesium Alloy HZ32A-T6 sand casting,186,90,73000,26000,0.33,1750,False
ANSI Magnesium Alloy K1A-F sand casting,179,55,73000,26000,0.33,1750,False
ANSI Magnesium Alloy QE22A-T6 sand casting,262,193,73000,26000,0.33,1750,False
ANSI Magnesium Alloy QH21A-T6 sand casting,276,207,73000,26000,0.33,1750,False
ANSI Magnesium Alloy ZE41A-T5 sand casting,207,138,73000,26000,0.33,1750,False
ANSI Magnesium Alloy ZE63A-T6 sand casting,303,193,73000,26000,0.33,1750,False
ANSI Magnesium Alloy ZH62A-T5 sand casting,241,152,73000,26000,0.33,1750,False
ANSI Magnesium Alloy ZK51A-T5 sand casting,207,138,73000,26000,0.33,1750,False
ANSI Magnesium Alloy ZK61A-T6 sand casting,310,193,73000,26000,0.33,1750,False
ANSI Magnesium Alloy WE54A-F sand casting,276,200,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ91A-F pressure die casting,234,159,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ91B-FAZ91B-F pressure die casting,234,159,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ91D-F pressure die casting,234,159,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AM60A-F pressure die casting,221,131,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AM60B-F pressure die casting,221,131,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AS41A-F pressure die casting,214,138,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ10A-F As extruded,241,145,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ31B-F As extruded,262,200,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ31C-F As extruded,262,200,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ61A-F As extruded,310,228,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ80A-T5 As extruded,379,276,73000,26000,0.33,1750,False
ANSI Magnesium Alloy HM31A-F As extruded,290,228,73000,26000,0.33,1750,False
ANSI Magnesium Alloy M1A-F As extruded,255,179,73000,26000,0.33,1750,False
ANSI Magnesium Alloy ZK40A-T5 As extruded,276,255,73000,26000,0.33,1750,False
ANSI Magnesium Alloy ZK60A-F As extruded,352,283,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ31B-H24 ,290,221,73000,26000,0.33,1750,False
ANSI Magnesium Alloy AZ31C-H24 ,290,221,73000,26000,0.33,1750,False
ANSI Magnesium Alloy HK31A-H24 ,262,207,73000,26000,0.33,1750,False
ANSI Magnesium Alloy HM21A-T8 ,234,172,73000,26000,0.33,1750,False
ISO EN 11SMn30 ,380,230,206000,80000,0.3,7860,False
ISO EN 10S2O ,360,225,206000,80000,0.3,7860,False
ISO EN 35S20 ,600,380,206000,80000,0.3,7860,False
ISO EN FeP01 ,270,280,206000,80000,0.3,7860,False
ISO EN FeP03 ,270,240,206000,80000,0.3,7860,False
ISO EN FeP04 ,270,210,206000,80000,0.3,7860,False
ISO EN SPT360 ,360,225,206000,80000,0.3,7860,False
ISO EN P235GH ,360,225,206000,80000,0.3,7860,False
ISO EN S235JRG1 ,340,225,206000,80000,0.3,7860,False
ISO EN S235JRH ,340,225,206000,80000,0.3,7860,False
ISO EN S235JRG2 ,340,225,206000,80000,0.3,7860,False
ISO EN S235JO ,340,225,206000,80000,0.3,7860,False
ISO EN P265GH ,410,225,206000,80000,0.3,7860,False
ISO EN S275JR ,410,265,206000,80000,0.3,7860,True
ISO EN S275J2G3 ,410,265,206000,80000,0.3,7860,True
ISO EN S275J2HG3 ,410,265,206000,80000,0.3,7860,True
ISO EN S355J2G3 ,490,345,206000,80000,0.3,7860,True
ISO EN S355J2H ,490,345,206000,80000,0.3,7860,True
ISO EN S355JO ,490,345,206000,80000,0.3,7860,True
ISO EN S355JOH ,490,345,206000,80000,0.3,7860,True
ISO EN SPT410 ,410,255,206000,80000,0.3,7860,True
ISO EN SPT510 ,510,345,206000,80000,0.3,7860,False
ISO EN E295 ,470,285,206000,80000,0.3,7860,True
ISO EN E355 ,570,325,206000,80000,0.3,7860,False
ISO EN E360 ,690,355,206000,80000,0.3,7860,False
ISO EN C10E ,420,300,206000,80000,0.3,7860,True
ISO EN C15E ,440,340,206000,80000,0.3,7860,True
ISO EN C22 ,470,290,206000,80000,0.3,7860,True
ISO EN C25 ,500,320,206000,80000,0.3,7860,True
ISO EN C30 ,550,350,206000,80000,0.3,7860,False
ISO EN C35 ,600,380,206000,80000,0.3,7860,False
ISO EN C40 ,630,400,206000,80000,0.3,7860,False
ISO EN C45 heat treated,650,430,206000,80000,0.3,7860,False
ISO EN C50 heat treated,700,460,206000,80000,0.3,7860,False
ISO EN C55 heat treated,750,490,206000,80000,0.3,7860,False
ISO EN C60 heat treated,800,520,206000,80000,0.3,7860,False
ISO EN P295GH ,460,290,206000,80000,0.3,7860,True
ISO EN 28Mn6 heat treated,700,490,206000,80000,0.3,7860,False
ISO EN 17Cr3 ,580,340,206000,80000,0.3,7860,False
ISO EN 34Cr4 heat treated,800,590,206000,80000,0.3,7860,False
ISO EN 37Cr4 heat treated,850,630,206000,80000,0.3,7860,False
ISO EN 41Cr4 heat treated,900,660,206000,80000,0.3,7860,False
ISO EN 16MnCr5 case-hardened,900,680,206000,80000,0.3,7860,False
ISO EN 20MnCr5 case-hardened,980,680,206000,80000,0.3,7860,False
ISO EN 16Mo3 ,440,270,206000,80000,0.3,7860,True
ISO EN 13CrMo4 ,450,295,206000,80000,0.3,7860,True
ISO EN 25CrMo4 heat treated,800,600,206000,80000,0.3,7860,False
ISO EN 34CrMo4 heat treated,900,650,206000,80000,0.3,7860,False
ISO EN 42CrMo4 heat treated,1000,770,206000,80000,0.3,7860,False
ISO EN S355J2G1W ,490,345,206000,80000,0.3,7860,True
ISO EN S355J0WP ,490,345,206000,80000,0.3,7860,True
ISO EN 51CrV4 case-hardened,900,700,206000,80000,0.3,7860,False
ISO EN 10CrMo9-10 ,480,300,206000,80000,0.3,7860,True
ISO EN 11CrMo9-10 ,520,310,206000,80000,0.3,7860,False
ISO EN 16NiCr4 case-hardened,835,590,206000,80000,0.3,7860,False
ISO EN 12Ni14 ,490,355,206000,80000,0.3,7860,True
ISO EN 34CrNiMo6 heat treated,1100,900,206000,80000,0.3,7860,False
ISO EN 30CrNiMo8 heat treated,1250,1050,206000,80000,0.3,7860,False
ISO EN 12Ni19 ,530,390,206000,80000,0.3,7860,False
ISO EN X8Ni9 ,680,585,206000,80000,0.3,7860,False
ISO EN X6Cr13 ,400,230,206000,80000,0.3,7860,False
ISO EN X12Cr13 ,650,450,206000,80000,0.3,7860,False
ISO EN X20Cr13 ,700,500,206000,80000,0.3,7860,False
ISO EN X30Cr13 ,850,650,206000,80000,0.3,7860,False
ISO EN X6Cr17 ,400,240,206000,80000,0.3,7860,False
ISO EN X17CrNi16-2 ,800,600,206000,80000,0.3,7860,False
ISO EN X5CrNi18-10 ,500,190,206000,80000,0.3,7860,False
ISO EN X8CrNiS18-9 ,500,190,206000,80000,0.3,7860,False
ISO EN X6CrNiTi18-10 ,500,190,206000,80000,0.3,7860,False
ISO EN X2CrNi19-11 ,460,180,206000,80000,0.3,7860,False
ISO EN X2CrNiN18-10 ,550,270,206000,80000,0.3,7860,False
ISO EN X5CrNiMo17-12-2 ,500,200,206000,80000,0.3,7860,False
ISO EN X6CrNiMoTi17-12-2 ,500,200,206000,80000,0.3,7860,False
ISO EN X2CrNiMo17-12-2 ,500,200,206000,80000,0.3,7860,False
ISO EN X2CrNiMo18-14-3 ,500,200,206000,80000,0.3,7860,False
ISO EN X3CrNiMo17-13-3 ,500,200,206000,80000,0.3,7860,False
ISO EN X2CrNiMoN17-11-2 ,580,280,206000,80000,0.3,7860,False
